Timestamp,AnomalousLogMessage,DetectionReason
2025-07-30T10:27:00.115157,Source: PythonTestEventSource | ID: 777 | Message: A fatal crash has occurred. Application failed unexpectedly.,keyword 'fatal' found
2025-07-30T10:30:19.543860,Source: PythonTestEventSource | ID: 777 | Message: A fatal crash has occurred. Application failed unexpectedly.,keyword 'fatal' found
2025-07-30T10:30:51.753727,Source: PythonTestEventSource | ID: 777 | Message: A fatal crash has occurred. Application failed unexpectedly.,keyword 'fatal' found
2025-07-30T10:31:03.543629,Source: PythonTestEventSource | ID: 777 | Message: A fatal crash has occurred. Application failed unexpectedly.,keyword 'fatal' found
2025-07-30T10:45:05.672790,"Source: MyCrashTestApp | ID: 1000 | Message: Faulting application name: payroll_processor.exe, Exception code: 0xc0000005, This is a critical application crash that needs immediate attention.",keyword 'Crash' found
2025-08-01T20:40:06.387549,"Source: MyCrashTestApp | ID: 1000 | Message: Faulting application name: payroll_processor.exe, Exception code: 0xc0000005, This is a critical application crash that needs immediate attention.",keyword 'Crash' found
2025-08-01T20:41:08.484943,"Source: MyCrashTestApp | ID: 1000 | Message: Faulting application name: payroll_processor.exe, Exception code: 0xc0000005, This is a critical application crash that needs immediate attention.",keyword 'Crash' found
2025-08-01T20:44:30.703595,"Source: MyCrashTestApp | ID: 1000 | Message: Faulting application name: payroll_processor.exe, Exception code: 0xc0000005, This is a critical application crash that needs immediate attention.",keyword 'Crash' found
2025-08-01T20:50:40.950088,"Source: MyCrashTestApp | ID: 1000 | Message: Faulting application name: payroll_processor.exe, Exception code: 0xc0000005, This is a critical application crash that needs immediate attention.",keyword 'Crash' found
Thu Jul 31 17:07:02 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1b8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG4400\WATCHDOG4400-20250725-0024.dmp
\\?\C:\WINDOWS\SystemTemp\WER-39724375-1.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.7c622476-50c6-45eb-a6a2-02103ba9ed5f.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.0b613ac6-9024-4206-bafc-5ea0e3d88225.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.bea257b7-64b4-43ea-bed7-f45a28a74759.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.6ed9dbba-d966-43e1-8849-e2d40109003b.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1b8_3d5c20ffcbc1a78576e311abd9d528971ecca491_00000000_95ca83d4-5f0e-41fb-a31a-cb8baf1ef443  0 95ca83d4-5f0e-41fb-a31a-cb8baf1ef443 2051  0"
Thu Jul 31 17:04:01 2025,SamsungQuickShareService,0,PowerEvent handled successfully by the service.
Thu Jul 31 17:04:01 2025,igcc,0,PowerEvent handled successfully by the service.
Thu Jul 31 17:04:01 2025,Razer Central Service,0,PowerEvent handled successfully by the service.
Thu Jul 31 17:04:01 2025,Razer Central Service,0,PowerEvent handled successfully by the service.
Thu Jul 31 17:04:01 2025,igcc,0,PowerEvent handled successfully by the service.
Thu Jul 31 17:04:01 2025,SamsungQuickShareService,0,PowerEvent handled successfully by the service.
Thu Jul 31 17:02:55 2025,Razer Central Service,0,PowerEvent handled successfully by the service.
Thu Jul 31 17:02:55 2025,igcc,0,PowerEvent handled successfully by the service.
Thu Jul 31 17:02:55 2025,SamsungQuickShareService,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:54:27 2025,Razer Central Service,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:54:27 2025,igcc,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:54:27 2025,SamsungQuickShareService,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:47:48 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1b8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG4403\WATCHDOG4403-20250730-2056.dmp
\\?\C:\WINDOWS\SystemTemp\WER-425703-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.34b7680e-8046-46d5-aa54-cf2f9735d29b.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.96fed9f9-50f8-4aa5-bb80-a78869b66a57.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.3c171382-ae1f-4730-969c-68df573c51db.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.3de9f2ea-087f-4f20-9b05-e94231a204ae.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1b8_3d5c20ffcbc1a78576e311abd9d528971ecca491_00000000_c60ac7de-adbb-4bde-8ec1-1f39aeb63af2  0 c60ac7de-adbb-4bde-8ec1-1f39aeb63af2 2049  0"
Thu Jul 31 16:47:48 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1a8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG\WATCHDOG-20250730-2056.dmp
\\?\C:\WINDOWS\SystemTemp\WER-425656-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.d9e1c229-1c22-4586-8d37-2795e2c78822.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.718f90a6-8791-4a6d-a887-c9880015527a.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.9696a0a2-a226-4cbe-90bc-546dffeb04da.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.8840f2cf-959d-4f51-93b6-f89b82e8dbc0.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1a8_12a34ebb241f4eaeb5dd54c5bd243da5faddcb6_00000000_c6732e49-f292-4c98-8b7a-6aff3757b60c  0 c6732e49-f292-4c98-8b7a-6aff3757b60c 2049  0"
Thu Jul 31 16:47:48 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1b8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG4402\WATCHDOG4402-20250730-2056.dmp
\\?\C:\WINDOWS\SystemTemp\WER-425812-1.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.8ea56146-8ee2-474b-b7a4-dde3b9871754.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.db01bb1b-d94c-4fa2-9d02-f9110c7be667.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.16c1e41f-f806-4547-8550-ef4a0ec478f8.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.32c09df7-24bc-42a6-88fa-b85be4dd7ada.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1b8_3d5c20ffcbc1a78576e311abd9d528971ecca491_00000000_b9aca035-43cf-43b0-800d-ebc9c8274c3f  0 b9aca035-43cf-43b0-800d-ebc9c8274c3f 2049  0"
Thu Jul 31 16:47:48 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1a8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG\WATCHDOG-20250730-2052.dmp
\\?\C:\WINDOWS\SystemTemp\WER-194875-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.17900b21-3b4d-4cb6-9200-847eeb7a35eb.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.228b62e0-8e6a-4cb4-9b4f-f8942a72e0a8.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c8744d0e-1041-4566-b7f9-5156fd3efb2c.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c843b188-c8ef-406a-ae68-9f16fe813158.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1a8_12a34ebb241f4eaeb5dd54c5bd243da5faddcb6_00000000_50c88d6d-b58b-4b20-92c2-918c84fd3cbb  0 50c88d6d-b58b-4b20-92c2-918c84fd3cbb 2049  0"
Thu Jul 31 16:47:48 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1b8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG4401\WATCHDOG4401-20250730-2052.dmp
\\?\C:\WINDOWS\SystemTemp\WER-194906-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.05147001-8403-4f3c-ab9d-b106bf718919.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.fb952073-d890-4847-a94f-09f23d69fdf7.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.76a52b01-9581-419f-bafd-2b47275d9f66.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.05b5b50f-1e73-4fdd-8095-31c7e6bc691e.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1b8_3d5c20ffcbc1a78576e311abd9d528971ecca491_00000000_931e0eb8-1122-4d1e-9525-775b338fba68  0 931e0eb8-1122-4d1e-9525-775b338fba68 2049  0"
Thu Jul 31 16:47:48 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1b8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG4400\WATCHDOG4400-20250730-2052.dmp
\\?\C:\WINDOWS\SystemTemp\WER-194890-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.ab2e5c64-cbff-46f8-a9c7-884732865dd1.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.f0baccce-4f88-4264-b78b-4f6521b7e8b2.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c0ce7c78-8095-4513-b376-50e5c47702a6.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.d3725b6b-2718-4394-9630-13fd7a3c6c9f.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1b8_3d5c20ffcbc1a78576e311abd9d528971ecca491_00000000_a82671b4-cbdc-4901-99b2-1f43885430f2  0 a82671b4-cbdc-4901-99b2-1f43885430f2 2049  0"
Thu Jul 31 16:47:48 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1b8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG4401\WATCHDOG4401-20250725-0024.dmp
\\?\C:\WINDOWS\SystemTemp\WER-39724250-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.54676230-0cea-4543-a8cc-128637aa8d7c.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.6e655a8b-90db-4e37-876b-4a557c96a428.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.69da5520-3e1d-4b7b-9d42-01eb495b29ad.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.7652efc9-ada7-494d-91ef-c4ef374a154b.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1b8_3d5c20ffcbc1a78576e311abd9d528971ecca491_00000000_a178b0b3-7810-404f-a872-e5ee341f4aae  0 a178b0b3-7810-404f-a872-e5ee341f4aae 2051  0"
Thu Jul 31 16:47:48 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1a8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG\WATCHDOG-20250725-0024.dmp
\\?\C:\WINDOWS\SystemTemp\WER-39724265-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.fd9138f5-8baf-4ed5-81b7-4219d2c1f6d8.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.2961e098-f5dd-40f8-99b9-ec97af17d77a.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.b8db71ab-2926-47d9-b72f-6aa119e5a597.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.472a2207-a244-45bf-b210-ac679adcf25a.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1a8_12a34ebb241f4eaeb5dd54c5bd243da5faddcb6_00000000_8496934e-efc2-414a-bbe5-f23462340f09  0 8496934e-efc2-414a-bbe5-f23462340f09 2051  0"
Thu Jul 31 16:47:48 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1b8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG4400\WATCHDOG4400-20250725-0024.dmp
\\?\C:\WINDOWS\SystemTemp\WER-39724375-1.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.7c622476-50c6-45eb-a6a2-02103ba9ed5f.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.0b613ac6-9024-4206-bafc-5ea0e3d88225.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.bea257b7-64b4-43ea-bed7-f45a28a74759.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.6ed9dbba-d966-43e1-8849-e2d40109003b.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1b8_3d5c20ffcbc1a78576e311abd9d528971ecca491_00000000_95ca83d4-5f0e-41fb-a31a-cb8baf1ef443  0 95ca83d4-5f0e-41fb-a31a-cb8baf1ef443 2051  0"
Thu Jul 31 16:44:47 2025,igcc,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:44:47 2025,SamsungQuickShareService,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:44:47 2025,Razer Central Service,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:44:46 2025,Razer Central Service,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:44:46 2025,igcc,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:44:46 2025,SamsungQuickShareService,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:43:05 2025,Razer Central Service,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:43:05 2025,igcc,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:43:05 2025,SamsungQuickShareService,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:42:59 2025,Software Protection Platform Service,1073758208,2125-07-07T11:12:59Z RulesEngine
Thu Jul 31 16:42:29 2025,Software Protection Platform Service,-1073725430,
Thu Jul 31 16:26:14 2025,Razer Central Service,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:26:14 2025,igcc,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:26:14 2025,SamsungQuickShareService,0,PowerEvent handled successfully by the service.
Thu Jul 31 16:22:07 2025,Software Protection Platform Service,1073758208,2125-07-07T10:52:07Z RulesEngine
Thu Jul 31 16:21:37 2025,Software Protection Platform Service,-1073725430,
Thu Jul 31 16:11:48 2025,Software Protection Platform Service,1073758208,2125-07-07T10:41:48Z RulesEngine
Thu Jul 31 16:11:18 2025,Software Protection Platform Service,-1073725430,
Thu Jul 31 15:56:41 2025,Software Protection Platform Service,1073758208,2125-07-07T10:26:41Z RulesEngine
Thu Jul 31 15:56:11 2025,Software Protection Platform Service,-1073725430,
Thu Jul 31 15:54:37 2025,Software Protection Platform Service,1073758208,2125-07-07T10:24:37Z RulesEngine
Thu Jul 31 15:54:06 2025,Software Protection Platform Service,-1073725430,
Thu Jul 31 15:37:52 2025,Software Protection Platform Service,1073758208,2125-07-07T10:07:52Z RulesEngine
Thu Jul 31 15:37:21 2025,Software Protection Platform Service,-1073725430,
Thu Jul 31 14:52:59 2025,Software Protection Platform Service,1073758208,2125-07-07T09:22:59Z RulesEngine
Thu Jul 31 14:52:29 2025,Software Protection Platform Service,-1073725430,
Thu Jul 31 14:43:28 2025,VSS,8224,
Thu Jul 31 14:41:19 2025,Windows Error Reporting,1001,2242384761501246408 5 BEX64 Not available 0 VALORANT.exe 0.0.0.0 00000000 StackHash_0000 0.0.0.0 00000000 PCH_84 c0000005 0000000000000008  \\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.0429bfe1-3e2a-4c5e-9baf-cc636b751782.tmp.WERInternalMetadata.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_VALORANT.exe_0944e53438286d2a4025bef3d76293bdbb461_b8d130d6_d9c7eed3-e8c5-4259-9825-82f15fc4dd83  0 2a30b2b3-f498-4fb5-88b3-1de3157793d0 268435456 a74fb8386162cc8caf1e8d0f5707e3c8 0
Thu Jul 31 14:41:07 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1b8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG4403\WATCHDOG4403-20250730-2056.dmp
\\?\C:\WINDOWS\SystemTemp\WER-425703-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.34b7680e-8046-46d5-aa54-cf2f9735d29b.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.96fed9f9-50f8-4aa5-bb80-a78869b66a57.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.3c171382-ae1f-4730-969c-68df573c51db.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.3de9f2ea-087f-4f20-9b05-e94231a204ae.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1b8_3d5c20ffcbc1a78576e311abd9d528971ecca491_00000000_c60ac7de-adbb-4bde-8ec1-1f39aeb63af2  0 c60ac7de-adbb-4bde-8ec1-1f39aeb63af2 2049  0"
Thu Jul 31 14:41:07 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1a8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG\WATCHDOG-20250730-2056.dmp
\\?\C:\WINDOWS\SystemTemp\WER-425656-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.d9e1c229-1c22-4586-8d37-2795e2c78822.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.718f90a6-8791-4a6d-a887-c9880015527a.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.9696a0a2-a226-4cbe-90bc-546dffeb04da.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.8840f2cf-959d-4f51-93b6-f89b82e8dbc0.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1a8_12a34ebb241f4eaeb5dd54c5bd243da5faddcb6_00000000_c6732e49-f292-4c98-8b7a-6aff3757b60c  0 c6732e49-f292-4c98-8b7a-6aff3757b60c 2049  0"
Thu Jul 31 14:41:07 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1b8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG4402\WATCHDOG4402-20250730-2056.dmp
\\?\C:\WINDOWS\SystemTemp\WER-425812-1.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.8ea56146-8ee2-474b-b7a4-dde3b9871754.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.db01bb1b-d94c-4fa2-9d02-f9110c7be667.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.16c1e41f-f806-4547-8550-ef4a0ec478f8.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.32c09df7-24bc-42a6-88fa-b85be4dd7ada.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1b8_3d5c20ffcbc1a78576e311abd9d528971ecca491_00000000_b9aca035-43cf-43b0-800d-ebc9c8274c3f  0 b9aca035-43cf-43b0-800d-ebc9c8274c3f 2049  0"
Thu Jul 31 14:41:07 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1a8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG\WATCHDOG-20250730-2052.dmp
\\?\C:\WINDOWS\SystemTemp\WER-194875-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.17900b21-3b4d-4cb6-9200-847eeb7a35eb.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.228b62e0-8e6a-4cb4-9b4f-f8942a72e0a8.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c8744d0e-1041-4566-b7f9-5156fd3efb2c.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c843b188-c8ef-406a-ae68-9f16fe813158.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1a8_12a34ebb241f4eaeb5dd54c5bd243da5faddcb6_00000000_50c88d6d-b58b-4b20-92c2-918c84fd3cbb  0 50c88d6d-b58b-4b20-92c2-918c84fd3cbb 2049  0"
Thu Jul 31 14:41:07 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1b8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG4401\WATCHDOG4401-20250730-2052.dmp
\\?\C:\WINDOWS\SystemTemp\WER-194906-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.05147001-8403-4f3c-ab9d-b106bf718919.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.fb952073-d890-4847-a94f-09f23d69fdf7.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.76a52b01-9581-419f-bafd-2b47275d9f66.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.05b5b50f-1e73-4fdd-8095-31c7e6bc691e.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1b8_3d5c20ffcbc1a78576e311abd9d528971ecca491_00000000_931e0eb8-1122-4d1e-9525-775b338fba68  0 931e0eb8-1122-4d1e-9525-775b338fba68 2049  0"
Thu Jul 31 14:41:06 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1b8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG4400\WATCHDOG4400-20250730-2052.dmp
\\?\C:\WINDOWS\SystemTemp\WER-194890-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.ab2e5c64-cbff-46f8-a9c7-884732865dd1.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.f0baccce-4f88-4264-b78b-4f6521b7e8b2.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.c0ce7c78-8095-4513-b376-50e5c47702a6.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.d3725b6b-2718-4394-9630-13fd7a3c6c9f.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1b8_3d5c20ffcbc1a78576e311abd9d528971ecca491_00000000_a82671b4-cbdc-4901-99b2-1f43885430f2  0 a82671b4-cbdc-4901-99b2-1f43885430f2 2049  0"
Thu Jul 31 14:41:06 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1b8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG4401\WATCHDOG4401-20250725-0024.dmp
\\?\C:\WINDOWS\SystemTemp\WER-39724250-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.54676230-0cea-4543-a8cc-128637aa8d7c.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.6e655a8b-90db-4e37-876b-4a557c96a428.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.69da5520-3e1d-4b7b-9d42-01eb495b29ad.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.7652efc9-ada7-494d-91ef-c4ef374a154b.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1b8_3d5c20ffcbc1a78576e311abd9d528971ecca491_00000000_a178b0b3-7810-404f-a872-e5ee341f4aae  0 a178b0b3-7810-404f-a872-e5ee341f4aae 2051  0"
Thu Jul 31 14:41:06 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1a8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG\WATCHDOG-20250725-0024.dmp
\\?\C:\WINDOWS\SystemTemp\WER-39724265-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.fd9138f5-8baf-4ed5-81b7-4219d2c1f6d8.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.2961e098-f5dd-40f8-99b9-ec97af17d77a.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.b8db71ab-2926-47d9-b72f-6aa119e5a597.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.472a2207-a244-45bf-b210-ac679adcf25a.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1a8_12a34ebb241f4eaeb5dd54c5bd243da5faddcb6_00000000_8496934e-efc2-414a-bbe5-f23462340f09  0 8496934e-efc2-414a-bbe5-f23462340f09 2051  0"
Thu Jul 31 14:41:06 2025,Windows Error Reporting,1001," 0 LiveKernelEvent Not available 0 1b8 1 0 0 0 10_0_26100 0_0 768_1   \\?\C:\WINDOWS\LiveKernelReports\WATCHDOG4400\WATCHDOG4400-20250725-0024.dmp
\\?\C:\WINDOWS\SystemTemp\WER-39724375-1.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.7c622476-50c6-45eb-a6a2-02103ba9ed5f.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.0b613ac6-9024-4206-bafc-5ea0e3d88225.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.bea257b7-64b4-43ea-bed7-f45a28a74759.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.6ed9dbba-d966-43e1-8849-e2d40109003b.tmp.xml \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_1b8_3d5c20ffcbc1a78576e311abd9d528971ecca491_00000000_95ca83d4-5f0e-41fb-a31a-cb8baf1ef443  0 95ca83d4-5f0e-41fb-a31a-cb8baf1ef443 2051  0"
